Job Title,Company,Category,Work Mode,Experience Level,Key Tech & Skills,Profile Match Summary,Application Link,Application Status
Junior Python Developer,HelixBeat,Python / Backend Development,Fully Remote (India),Fresher / Junior (0-1 yrs),"Python, RESTful Web Services, Git, SQL/Databases",Aligns with Python foundation and database management coursework/projects,https://in.indeed.com/q-junior-python-developer-l-remote-jobs.html,Not Applied
Android Developer Intern (Kotlin),AnantX,Mobile Development,Fully Remote (India),Fresher / Intern,"Kotlin, Room Database, Android SDK, Android Studio, Material Design",Direct match with candidate's Android Expense Calculator & Music Player projects,https://in.indeed.com/q-android-developer-kotlin-l-remote-jobs.html,Not Applied
Junior Android Developer,QBYTEZ INFOLABS PVT LTD,Mobile Development,Fully Remote (India),Fresher / Junior (0-1 yrs),"Kotlin, Android SDK, Git, UI/UX Implementation, REST APIs",Leverages candidate's 6-week Kotlin training and portfolio apps,https://in.indeed.com/q-android-developer-kotlin-l-remote-jobs.html,Not Applied
Junior Data Analyst / Reporting Analyst,MHTECHIN,Data Analytics & BI,Fully Remote (India),Fresher / Entry-Level (0-1 yrs),"Power BI, Microsoft Excel, Data Validation, Business Reporting",Direct fit for Power BI Sales Analytics Dashboard project and Excel skills,https://in.indeed.com/q-remote-data-analyst-power-bi-jobs.html,Not Applied
Junior BI Developer / Data Analyst,Technology Next,Data Analytics & BI,Fully Remote (India),Fresher / Entry-Level (0-1 yrs),"Power BI, Tableau, SQL Queries, Data Modeling, Dashboard Design",Matches data visualization competencies and analytical thinking,https://in.indeed.com/q-remote-data-analyst-power-bi-jobs.html,Not Applied
Solution Consultant Associate / Early Career,Workday Inc.,Workday / Cloud ERP,Fully Remote / Hybrid (Global / India),Fresher / 0 years (Graduate Program),"Workday HCM, Financials, Cloud Applications, Analytics",Direct entry-level program by Workday Inc. designed for recent graduates with zero prior experience,https://workday.wd5.myworkdayjobs.com/Workday_Early_Career,Not Applied
Workday Support Analyst,CrowdStrike,Workday / HRIS Operations,Fully Remote (India),Entry-Level / Junior (0-1 yrs),"Workday HCM, User Support, EIB Data Loads, Excel, Reporting",Excellent entry point for HRIS/ERP operations and business process management,https://in.indeed.com/q-workday-analyst-junior-jobs.html,Not Applied
Workday Absence Management / HRIS Analyst,Bp Ergo,Workday / HRIS Operations,Fully Remote / Hybrid (India),Fresher (0-1 yrs),"Workday Absence, Core HCM, Employee Data Verification, Data Quality",Designed for freshers to gain hands-on Workday module exposure,https://www.foundit.in/job/workday-absence-management-analyst-retail-bp-ergo-pune-63136912,Not Applied
Workday Integration Consultant — Associate,Huron Consulting Group,Workday / Integrations,Fully Remote / Hybrid (India),Fresher / Trainee Track (0-1 yrs),"Workday Integration, XML/XSLT, REST/SOAP APIs, EIBs, Structured Problem Solving",Fast-track consulting program training freshers in technical integrations and APIs,https://bebee.com/in/jobs/workday-integration-consultant-associate-huron-eurasia-india-private-limited-bengaluru--techmap_in_1583194177,Not Applied
Entry-Level Workday HCM Functional Consultant,Hexaware Technologies,Workday / Cloud ERP,Fully Remote,Fresher / Entry-Level (0 yrs),"Workday HCM, Business Process Framework, HR Systems",Entry-level functional track for training on global Workday implementations,https://www.dice.com/jobs/q-entry+level+workday+consultant-jobs,Not Applied
Associate Salesforce Developer (Trained Freshers),CUBE84,Salesforce / CRM & Cloud,Fully Remote / India,Fresher (0-1 yrs),"Apex, Lightning Web Components (LWC), SOQL, Salesforce Flows, JavaScript","Fresh graduate developer role leveraging JavaScript, web standards, and database fundamentals",https://in.indeed.com/q-salesforce-fresher-jobs.html,Not Applied
Junior Salesforce Developer Trainee,Artmac Soft,Salesforce / CRM & Cloud,Fully Remote (All India),Fresher / Trainee (0 yrs),"Salesforce Platform, SQL, HTML, CSS, JavaScript, REST APIs","Trainee program for freshers with strong OOP, web development, and API integration background",https://www.shine.com/job-search/fresher-salesforce-developer-jobs,Not Applied
ServiceNow Trainee / Associate Developer,Globant / ITnow Inc.,ServiceNow / Cloud Enterprise,Fully Remote (India),Fresher / Entry-Level (0-1 yrs),"ServiceNow Platform, ITSM, JavaScript, Service Portal, REST/SOAP APIs",Perfect match for IT graduates with JavaScript and web scripting skills,https://in.indeed.com/q-servicenow-fresher-remote-jobs.html,Not Applied
SAP SuccessFactors / SAP HCM Trainee Consultant,CorroHealth / PVRN SAP Services,SAP / Enterprise Cloud HR,Fully Remote / India,Fresher / Trainee (0 yrs),"SAP SuccessFactors Employee Central, SAP HCM, HR Processes, Data Quality",Entry-level SAP Cloud HR training track for fresh engineering/IT graduates,"https://in.indeed.com/q-sap-successfactors,-trainee-jobs.html",Not Applied
Oracle HCM Cloud Associate / Fresher Analyst,SFJ Business Solutions / Highstreet,Oracle Cloud / Enterprise ERP,Fully Remote (India),Fresher / Entry-Level (0-1 yrs),"Oracle Fusion HCM, SQL, Cloud Data Loaders, System Configuration",Entry-level track for learning Oracle Cloud HCM and ERP ecosystem,https://in.indeed.com/q-oracle-hcm-fresher-jobs.html,Not Applied
